Week,GIC Rates
2020-12-27,10
2021-01-03,13
2021-01-10,13
2021-01-17,13
2021-01-24,13
2021-01-31,12
2021-02-07,13
2021-02-14,12
2021-02-21,15
2021-02-28,14
2021-03-07,11
2021-03-14,10
2021-03-21,9
2021-03-28,11
2021-04-04,10
2021-04-11,13
2021-04-18,11
2021-04-25,10
2021-05-02,10
2021-05-09,8
2021-05-16,9
2021-05-23,8
2021-05-30,9
2021-06-06,8
2021-06-13,8
2021-06-20,8
2021-06-27,8
2021-07-04,8
2021-07-11,8
2021-07-18,8
2021-07-25,8
2021-08-01,7
2021-08-08,7
2021-08-15,7
2021-08-22,8
2021-08-29,8
2021-09-05,7
2021-09-12,8
2021-09-19,6
2021-09-26,8
2021-10-03,8
2021-10-10,7
2021-10-17,9
2021-10-24,9
2021-10-31,9
2021-11-07,7
2021-11-14,9
2021-11-21,7
2021-11-28,9
2021-12-05,9
2021-12-12,9
2021-12-19,8
2021-12-26,10
2022-01-02,15
2022-01-09,16
2022-01-16,16
2022-01-23,15
2022-01-30,17
2022-02-06,16
2022-02-13,15
2022-02-20,18
2022-02-27,23
2022-03-06,19
2022-03-13,18
2022-03-20,20
2022-03-27,20
2022-04-03,21
2022-04-10,37
2022-04-17,42
2022-04-24,32
2022-05-01,35
2022-05-08,33
2022-05-15,28
2022-05-22,26
2022-05-29,51
2022-06-05,45
2022-06-12,54
2022-06-19,49
2022-06-26,40
2022-07-03,45
2022-07-10,100
2022-07-17,82
2022-07-24,64
2022-07-31,53
2022-08-07,51
2022-08-14,46
2022-08-21,47
2022-08-28,43
2022-09-04,89
2022-09-11,70
2022-09-18,67
2022-09-25,54
2022-10-02,48
2022-10-09,50
2022-10-16,51
2022-10-23,91
2022-10-30,80
2022-11-06,59
2022-11-13,53
2022-11-20,46
2022-11-27,46
2022-12-04,84
2022-12-11,68
2022-12-18,55
2022-12-25,48
2023-01-01,65
2023-01-08,58
2023-01-15,52
2023-01-22,78
2023-01-29,69
2023-02-05,58
2023-02-12,47
2023-02-19,49
2023-02-26,49
2023-03-05,48
2023-03-12,49
2023-03-19,46
2023-03-26,38
2023-04-02,34
2023-04-09,36
2023-04-16,35
2023-04-23,35
2023-04-30,34
2023-05-07,29
2023-05-14,29
2023-05-21,27
2023-05-28,29
2023-06-04,55
2023-06-11,50
2023-06-18,42
2023-06-25,40
2023-07-02,43
2023-07-09,76
2023-07-16,58
2023-07-23,44
2023-07-30,47
2023-08-06,39
2023-08-13,39
2023-08-20,42
2023-08-27,48
2023-09-03,52
2023-09-10,41
2023-09-17,39
2023-09-24,39
2023-10-01,43
2023-10-08,39
2023-10-15,45
2023-10-22,44
2023-10-29,45
2023-11-05,48
2023-11-12,42
2023-11-19,35
2023-11-26,40
2023-12-03,44
2023-12-10,42
2023-12-17,38
2023-12-24,35
2023-12-31,50
2024-01-07,41
2024-01-14,42
2024-01-21,38
2024-01-28,39
2024-02-04,36
2024-02-11,36
2024-02-18,36
2024-02-25,35
2024-03-03,33
2024-03-10,29
2024-03-17,29
2024-03-24,25
2024-03-31,29
2024-04-07,27
2024-04-14,28
2024-04-21,24
2024-04-28,27
2024-05-05,26
2024-05-12,24
2024-05-19,22
2024-05-26,23
2024-06-02,36
2024-06-09,23
2024-06-16,24
2024-06-23,24
2024-06-30,22
2024-07-07,25
2024-07-14,24
2024-07-21,31
2024-07-28,29
2024-08-04,27
2024-08-11,28
2024-08-18,27
2024-08-25,28
2024-09-01,30
2024-09-08,27
2024-09-15,27
2024-09-22,25
2024-09-29,25
2024-10-06,24
2024-10-13,26
2024-10-20,35
2024-10-27,26
2024-11-03,23
2024-11-10,25
2024-11-17,23
2024-11-24,23
2024-12-01,24
2024-12-08,27
2024-12-15,28
2024-12-22,20
2024-12-29,28
2025-01-05,30
2025-01-12,29
2025-01-19,26
2025-01-26,31
2025-02-02,31
2025-02-09,26
2025-02-16,25
2025-02-23,31
2025-03-02,30
2025-03-09,34
2025-03-16,26
2025-03-23,25
2025-03-30,26
2025-04-06,30
2025-04-13,26
2025-04-20,22
2025-04-27,21
2025-05-04,22
2025-05-11,24
2025-05-18,22
2025-05-25,22
2025-06-01,23
2025-06-08,22
2025-06-15,20
2025-06-22,21
2025-06-29,22
2025-07-06,24
2025-07-13,24
2025-07-20,23
2025-07-27,24
2025-08-03,22
2025-08-10,24
2025-08-17,21
2025-08-24,21
2025-08-31,23
2025-09-07,20
2025-09-14,25
2025-09-21,20
2025-09-28,20
2025-10-05,20
2025-10-12,19
2025-10-19,20
2025-10-26,24
2025-11-02,21
2025-11-09,19
2025-11-16,21
2025-11-23,20
2025-11-30,20
2025-12-07,20
2025-12-14,19
2025-12-21,14
2025-12-28,19
